Command,Flags,Value flags,Positional args,Req pos,Opt pos,File I/O,PM,Runtime,Debug,Network,Subcommands,Dynamic,Examples,Defaults (#),Default values,Choices (#),Choice values,Drift hash
add (a),40,14,1,0,1,4,29,1,6,6,0,packages,6,1,--concurrent-scripts=2x,0,—,5a2cd0162582
audit,3,2,1,0,1,0,1,0,0,0,0,—,2,0,—,0,—,5a2cd0162582
build,57,27,0,0,0,15,1,8,3,0,0,files,5,12,"--compile-autoload-dotenv=true), --compile-autoload-bunfig=true), --compile-autoload-tsconfig=false), --compile-autoload-package-json=false), --outdir=dist, --format=esm, --allow-unresolved='*', --packages=bundle, --entry-naming=[dir]/[name], --chunk-naming=[name]-[hash], --asset-naming=[name]-[hash], --env='disable'",0,—,5a2cd0162582
create (c),0,0,0,0,0,0,0,0,0,0,0,—,0,0,—,0,—,5a2cd0162582
exec,0,0,1,1,0,0,0,0,0,0,0,—,2,0,—,0,—,5a2cd0162582
feedback,0,0,0,0,0,0,0,0,0,0,0,—,0,0,—,0,—,5a2cd0162582
info,35,14,2,0,2,4,24,1,6,6,0,—,3,1,--concurrent-scripts=2x,0,—,5a2cd0162582
init,6,0,2,0,2,0,1,0,1,0,0,—,4,0,—,0,—,5a2cd0162582
install (i),41,15,1,0,1,4,29,2,6,6,0,—,2,1,--concurrent-scripts=2x,0,—,5a2cd0162582
link,34,14,1,0,1,4,24,1,6,6,0,—,2,1,--concurrent-scripts=2x,0,—,5a2cd0162582
outdated,36,15,2,0,2,4,24,3,6,6,0,—,7,1,--concurrent-scripts=2x,0,—,5a2cd0162582
patch,36,15,1,0,1,5,25,1,6,6,0,—,3,1,--concurrent-scripts=2x,0,—,5a2cd0162582
pm,0,0,2,0,2,0,0,0,0,0,16,—,0,0,—,0,—,5a2cd0162582
publish,40,19,2,0,2,4,29,1,6,7,0,—,4,4,"--concurrent-scripts=2x, --tag=latest, --auth-type='web'), --gzip-level=9",0,—,5a2cd0162582
remove (rm),34,14,1,0,1,4,24,1,6,6,0,packages,1,1,--concurrent-scripts=2x,0,—,5a2cd0162582
repl,82,42,2,1,1,5,5,33,8,8,0,—,4,7,"--elide-lines=10), --cpu-prof-interval=1000), --max-http-header-size=16KiB, --console-depth=2), --main-fields=--target, --extension-order=:, --jsx-import-source=react",3,"--install={auto}, --dns-result-order={verbatim, (default), ipv4first, ipv6first}, --unhandled-rejections={strict}",5a2cd0162582
run,82,42,2,1,1,5,5,33,8,8,0,"scripts, files, binaries",4,7,"--elide-lines=10), --cpu-prof-interval=1000), --max-http-header-size=16KiB, --console-depth=2), --main-fields=--target, --extension-order=:, --jsx-import-source=react",3,"--install={auto}, --dns-result-order={verbatim, (default), ipv4first, ipv6first}, --unhandled-rejections={strict}",5a2cd0162582
test,28,16,2,0,2,0,1,6,4,1,0,files,3,7,"--timeout=5000, --coverage-reporter='text', --coverage-dir='coverage', --bail=1, --reporter=console, --max-concurrency=20, --parallel=CPU",0,—,5a2cd0162582
unlink,34,14,1,0,1,4,24,1,6,6,0,—,1,1,--concurrent-scripts=2x,0,—,5a2cd0162582
update,38,15,1,0,1,4,25,4,6,6,0,—,4,1,--concurrent-scripts=2x,0,—,5a2cd0162582
upgrade,0,0,1,0,1,0,0,0,0,0,0,—,2,0,—,0,—,5a2cd0162582
why,0,0,3,1,2,0,0,0,0,0,0,—,0,0,—,0,—,5a2cd0162582
x,5,0,3,1,2,0,2,1,2,0,0,—,0,0,—,0,—,5a2cd0162582
